Date,Airline,Source,Destination,Dep_time,Arr_time,Durtion,Route,stop,price
01-Nov,GO FIRST,Bangalore,Delhi,11:45,20:45,09h 00m,BLR--->PAT-->DEL,1-stop,"12,108"
01-Nov,GO FIRST,Bangalore,Delhi,11:45,23:10,11h 25m,BLR--->PAT-->DEL,1-stop,"12,108"
01-Nov,Vistara,Bangalore,Delhi,11:30,19:55,08h 25m,BLR--->IXC-->DEL,1-stop,"12,267"
01-Nov,Vistara,Bangalore,Delhi,07:15,22:20,15h 05m,BLR--->PAT-->DEL,1-stop,"12,455"
01-Nov,Air India,Bangalore,Delhi,17:40,14:35,20h 55m,BLR--->PAT-->DEL,1-stop,"12,455"
01-Nov,Air India,Bangalore,Delhi,17:40,17:35,23h 55m,BLR--->PAT-->DEL,1-stop,"12,455"
01-Nov,Vistara,Bangalore,Delhi,09:30,16:55,07h 25m,BLR--->BOM-->DEL,1-stop,"12,687"
01-Nov,Vistara,Bangalore,Delhi,09:30,18:05,08h 35m,BLR--->BOM-->DEL,1-stop,"12,687"
01-Nov,Vistara,Bangalore,Delhi,09:30,19:40,10h 10m,BLR--->BOM-->DEL,1-stop,"12,687"
01-Nov,Vistara,Bangalore,Delhi,09:30,20:40,11h 10m,BLR--->BOM-->DEL,1-stop,"12,687"
01-Nov,Vistara,Bangalore,Delhi,09:30,21:55,12h 25m,BLR--->BOM-->DEL,1-stop,"12,687"
01-Nov,Vistara,Bangalore,Delhi,09:30,23:00,13h 30m,BLR--->BOM-->DEL,1-stop,"12,687"
01-Nov,Vistara,Bangalore,Delhi,09:30,00:10,14h 40m,BLR--->BOM-->DEL,1-stop,"12,687"
01-Nov,Vistara,Bangalore,Delhi,09:30,00:55,15h 25m,BLR--->BOM-->DEL,1-stop,"12,687"
01-Nov,Air India,Bangalore,Delhi,07:05,13:00,05h 55m,BLR--->MAA-->DEL,1-stop,"12,739"
01-Nov,Air India,Bangalore,Delhi,07:05,19:50,12h 45m,BLR--->MAA-->DEL,1-stop,"12,739"
01-Nov,Vistara,Bangalore,Delhi,11:30,16:30,05h 00m,BLR--->IXC-->DEL,1-stop,"13,264"
01-Nov,Air India,Bangalore,Delhi,09:00,21:10,12h 10m,BLR--->COK-->DEL,1-stop,"17,779"
02-Nov,GO FIRST,Bangalore,Delhi,06:00,08:40,02h 40m,BLR--->DEL,non-stop,"7,487"
02-Nov,GO FIRST,Bangalore,Delhi,21:15,23:55,02h 40m,BLR--->DEL,non-stop,"7,487"
02-Nov,SpiceJet,Bangalore,Delhi,02:10,04:50,02h 40m,BLR--->DEL,non-stop,"7,488"
02-Nov,Indigo,Bangalore,Delhi,12:55,15:40,02h 45m,BLR--->DEL,non-stop,"7,488"
02-Nov,Indigo,Bangalore,Delhi,14:35,17:20,02h 45m,BLR--->DEL,non-stop,"7,488"
02-Nov,SpiceJet,Bangalore,Delhi,21:50,00:35,02h 45m,BLR--->DEL,non-stop,"7,488"
02-Nov,Indigo,Bangalore,Delhi,05:30,08:20,02h 50m,BLR--->DEL,non-stop,"7,488"
02-Nov,Indigo,Bangalore,Delhi,07:50,10:40,02h 50m,BLR--->DEL,non-stop,"7,488"
02-Nov,Indigo,Bangalore,Delhi,09:40,12:30,02h 50m,BLR--->DEL,non-stop,"7,488"
02-Nov,Indigo,Bangalore,Delhi,17:40,20:30,02h 50m,BLR--->DEL,non-stop,"7,488"
02-Nov,Indigo,Bangalore,Delhi,18:35,21:25,02h 50m,BLR--->DEL,non-stop,"7,488"
